id;profession;company_name;department_name;job_name
1;Armenia compelling;Fresh Codes specifically reserve;hacking exuding;hack deposit
2;Garden Investor;Drive Ball back up;Licensed Stravenue dynamic;Borders
3;pink violet;synthesizing Practical Plastic F;invoice;Ecuador Ergonomic
4;Sleek Somoni;card Multi-channelled;Auto Loan Account enterprise;initiatives Shirt internet solut
5;firewall Mobility Borders;Avon Nuevo Sol application;help-desk;Singapore Integration Incredible
6;protocol purple Car;Cambridgeshire SDR empower;Expanded;violet Baby
7;relationships e-tailers;violet Customer green;e-commerce Stravenue;quantify Savings Account sky blu
8;yellow Cyprus Focused;Planner Togo microchip;Producer Lari Liberian Dollar;RAM
9;FTP;Outdoors;Engineer;white Decentralized
10;RSS;payment Books white;hardware;Horizontal back up
